Sentence,Tags
I am looking for a black gloss 33 inch fireclay apron sink,"O,O,O,O,O,B-COLOUR,B-TEXTURE,B-SIZE,I-SIZE,B-PRODUCT,I-PRODUCT,I-PRODUCT"
Looking for pre workout Pump addict instead of Karbolyn Hydrate Wich one is better?,"O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,B-N-PRODUCT,I-N-PRODUCT,O,O,O,O"
i need a 48 inch glass sliding goof and a shower pan system for 500.99 or less,"O,O,O,B-SIZE,I-SIZE,B-MATERIAL,B-PRODUCT,I-PRODUCT,O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,B-PRICE,I-PRICE,I-PRICE"
"Hello, do any of your free standing tubs have a matte white finish instead of a glossy finish?","O,O,O,O,O,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,O,O,B-TEXTURE,B-COLOUR,O,O,O,O,B-N-TEXTURE,O"
I'm looking for a 24 inch white mirror that is freestanding and reasonably priced.,"O,O,O,O,B-SIZE,I-SIZE,B-COLOUR,B-PRODUCT,O,O,B-ATTRIBUTE,O,B-PRICE,I-PRICE"
Does the linen add cotton duvet cover come in King? I saw it in the store but I don't see the king size online ?,"O,O,B-MATERIAL,O,B-MATERIAL,B-PRODUCT,I-PRODUCT,O,O,B-SIZE,O,O,O,O,O,O,O,O,O,O,O,B-SIZE,I-SIZE,O,O"
"Hi there. I'm looking to buy some throw blankets. Your website states that the underside of the Boucle wool-like throw is very soft. I would like to know if the wool-like top side is soft as well, or if it is scratchy. I have hypersensitive skin and need a blanket that will not irritate me. Thanks.","O,O,O,O,O,O,O,B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,B-MATERIAL,I-MATERIAL,B-PRODUCT,O,O,B-TEXTURE,O,O,O,O,O,O,O,B-MATERIAL,O,O,O,B-TEXTURE,O,O,O,O,O,O,B-N-TEXTURE,O,O,O,O,O,O,O,B-PRODUCT,O,O,O,O,O,O"
Long Sherpa jacket dark brown why can't I find it?,"B-SIZE,B-PRODUCT,I-PRODUCT,B-COLOUR,I-COLOUR,O,O,O,O,O"
Hello. I'm looking for a soft Open face cardigan w no buttons.,"O,O,O,O,O,B-TEXTURE,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,O,O,B-N-ATTRIBUTE"
hi do you carry any oval tubs in a matte white finish or not too much of gloss? i know they make solid surface but higher prices. thank you,"O,O,O,O,O,B-SHAPE,B-PRODUCT,O,O,B-TEXTURE,B-COLOUR,O,O,O,O,O,O,B-N-TEXTURE,O,O,O,O,O,O,O,B-PRICE,I-PRICE,O,O"
Do you not have alcove shower walls?,"O,O,O,O,B-ATTRIBUTE,B-PRODUCT,I-PRODUCT"
Hi I'm considering a bathtub swivel panel. I assume it doesn't matter which way the bathtub is facing?,"O,O,O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,B-PRODUCT,O,O"
looking for a alcove shower base . not so much $ lol,"O,O,O,B-ATTRIBUTE,B-PRODUCT,I-PRODUCT,O,O,O,O,O,O"
Do you have a vanity tops or wall mount sink without faucet holes?,"O,O,O,O,B-PRODUCT,I-PRODUCT,O,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE"
"Hi!! I'm looking for a 60"" wide tub but a soaker type thats deeper than a regular tub do you have this type? I don't see anything deep enough on your site","O,O,O,O,O,B-SIZE,I-SIZE,B-PRODUCT,O,O,B-ATTRIBUTE,I-ATTRIBUTE,O,B-ATTRIBUTE,O,O,B-N-PRODUCT,I-N-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Ok thanks. I'm looking for a pure white alcove bathtub, not American standard or any off whites. Is there one you could recommend","O,O,O,O,O,O,B-COLOUR,I-COLOUR,B-ATTRIBUTE,B-PRODUCT,O,B-ATTRIBUTE,I-ATTRIBUTE,O,O,B-N-COLOUR,I-N-COLOUR,O,O,O,O,O,O"
"Hi, Do you have a navy mirror size 60x31. You have it for the gold and black but i don't want it for the navy.","O,O,O,O,O,B-COLOUR,B-PRODUCT,O,B-SIZE,O,O,O,O,O,B-N-COLOUR,O,B-N-COLOUR,O,O,O,O,O,O,O,B-COLOUR"
"Hi, I am looking for a floating vanity with integrated sink & counter top with no drill holes for the faucet as our faucets are wall mounted. Do you sell theM","O,O,O,O,O,O,B-ATTRIBUTE,B-PRODUCT,O,B-ATTRIBUTE,I-ATTRIBUTE,O,B-ATTRIBUTE,I-ATTRIBUTE,O,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE,O,O,B-ATTRIBUTE,O,O,B-ATTRIBUTE,O,B-ATTRIBUTE,I-ATTRIBUTE,O,O,O,O"
I am looking for soaker tub but do not want stand alone. I am replacing my oval jacuzzi,"O,O,O,O,B-ATTRIBUTE,B-PRODUCT,O,O,O,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE,O,O,O,O,B-N-SHAPE,B-N-PRODUCT"
Where is the mirror on here. I don't want linen cabinet,"O,O,O,B-PRODUCT,O,O,O,O,O,B-N-MATERIAL,B-N-PRODUCT"
"Hello, I need a standup shower door only, no side panels. 41 inches wide","O,O,O,O,B-ATTRIBUTE,B-PRODUCT,I-PRODUCT,O,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE,B-SIZE,I-SIZE,I-SIZE"
I'm looking for a double sink kitchen close to 52 inches no bigger with countertop,"O,O,O,O,B-ATTRIBUTE,B-PRODUCT,I-PRODUCT,O,O,B-SIZE,I-SIZE,O,B-N-SIZE,O,B-ATTRIBUTE"
"I'm looking for bypass shower doors in chrome with clear glass. The opening would be for a 59"" width and the height I'm looking for is 76"". I don't want any rubber seals around the glass doors.","O,O,O,O,B-PRODUCT,I-PRODUCT,O,B-MATERIAL,O,B-MATERIAL,I-MATERIAL,O,O,O,O,O,O,B-SIZE,I-SIZE,O,O,B-SIZE,O,O,O,O,B-SIZE,O,O,O,O,B-N-MATERIAL,B-N-ATTRIBUTE,O,O,B-MATERIAL,B-PRODUCT"
"I am looking at the 34""x34"" shower kit with door, walls, base and glass shelves.","O,O,O,O,O,B-SIZE,B-PRODUCT,I-PRODUCT,O,B-ATTRIBUTE,B-ATTRIBUTE,B-ATTRIBUTE,O,B-MATERIAL,B-ATTRIBUTE"
"Can the 2"" backsplash, on the 60"" single sink countertop, be removed? Or is the counter and backsplash one piece? If so, do you have a single sink, white 60"" vanity with no backsplash piece?","O,O,B-N-SIZE,B-N-ATTRIBUTE,O,O,B-SIZE,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,B-PRODUCT,O,B-ATTRIBUTE,O,O,O,O,O,O,O,O,B-PRODUCT,I-PRODUCT,B-COLOUR,B-SIZE,B-PRODUCT,O,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE"
"We're looking for a 60 inch left drain alcove tub which is a soaker tub with no more than 15"" height. In white.","O,O,O,O,B-SIZE,I-SIZE,B-ATTRIBUTE,I-ATTRIBUTE,B-ATTRIBUTE,B-PRODUCT,O,O,O,B-ATTRIBUTE,B-PRODUCT,O,O,O,O,B-N-SIZE,I-N-SIZE,O,B-COLOUR"
just need glass doors no end glass,"O,O,B-MATERIAL,B-PRODUCT,O,B-N-PRODUCT,I-N-PRODUCT"
Do you have Chrome column-style showerhead with body jets and rain showerhead,"O,O,O,B-MATERIAL,B-SHAPE,B-PRODUCT,O,B-ATTRIBUTE,I-ATTRIBUTE,O,B-ATTRIBUTE,I-ATTRIBUTE"
i live in __location__ and i am looking for an acrylic ( preference ) or fibreglass shower base. I need a 50 inch wide by 34 inch deep with a 5 inch single threshold,"O,O,O,O,O,O,O,O,O,O,B-MATERIAL,O,O,O,O,B-MATERIAL,B-PRODUCT,I-PRODUCT,O,O,O,B-SIZE,I-SIZE,I-SIZE,O,B-SIZE,I-SIZE,I-SIZE,O,O,B-SIZE,I-SIZE,B-ATTRIBUTE,I-ATTRIBUTE"
"Looking for a tub/shower righthand and one lefthand, what are my options?","O,O,O,B-PRODUCT,B-ATTRIBUTE,O,O,B-ATTRIBUTE,O,O,O,O"
I am looking for a freestanding tub with a bathing well bottom length of 45 inches minimum,"O,O,O,O,O,B-ATTRIBUTE,B-PRODUCT,O,O,B-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE,B-SIZE,I-SIZE,I-SIZE,I-SIZE,O"
I'm looking for a round shower around 73 inches high,"O,O,O,O,B-SHAPE,B-PRODUCT,O,B-SIZE,I-SIZE,I-SIZE"
"I'm looking to buy a 42"" gazebo with no more than 21"" depth","O,O,O,O,O,B-SIZE,B-PRODUCT,O,O,O,O,B-N-SIZE,I-N-SIZE"
"Do you have shelves that mount to a wall, no screw 30 inches","O,O,O,B-PRODUCT,O,O,O,O,O,O,B-N-ATTRIBUTE,B-SIZE,I-SIZE"
__brand__ bathtub 58 in. x 5 in. 4-Jet High Pressure Shower Panel System with Square Rain Shower Head and Tub Filler in Matte Black Model,"B-PRODUCT,I-PRODUCT,B-SIZE,I-SIZE,O,B-SIZE,I-SIZE,B-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,B-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE,O,B-ATTRIBUTE,I-ATTRIBUTE,O,B-TEXTURE,B-COLOUR,O"
"Yes, I bought a tub from you, I am looking for a adjustable screw that attaches to the plug.","O,O,O,O,B-PRODUCT,O,O,O,O,O,O,O,B-ATTRIBUTE,B-PRODUCT,O,O,O,O,O"
I'm looking for a 60 inch white bathtub that is freestanding and reasonably priced,"O,O,O,O,B-SIZE,I-SIZE,B-COLOUR,B-PRODUCT,O,O,B-ATTRIBUTE,O,B-PRICE,I-PRICE"
i'm looking for unflavored mass gainer protein,"O,O,O,B-N-ATTRIBUTE,B-PRODUCT,I-PRODUCT,I-PRODUCT"
Do you have a wall mount sink without a faucet hole,"O,O,O,O,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,O,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE"
Just shower base without walls,"O,B-PRODUCT,I-PRODUCT,O,B-N-ATTRIBUTE"
"I'm looking for a shower unit, 60"" wide by 42"" deep, with no seat and no top","O,O,O,O,B-PRODUCT,I-PRODUCT,B-SIZE,I-SIZE,O,B-SIZE,I-SIZE,O,O,B-N-ATTRIBUTE,O,O,B-N-ATTRIBUTE"
luggage without wheels,"B-PRODUCT,O,B-N-ATTRIBUTE"
I found a vanity top I love but it has only one hole for taps and that doesn't suit our needs,"O,O,O,B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,B-N-ATTRIBUTE,I-N-ATTRIBUTE,O,B-ATTRIBUTE,O,O,O,O,O,O"
curbless shower,"B-N-ATTRIBUTE,B-PRODUCT"
Walk in tubs for seniors,"B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,O,B-ATTRIBUTE"
I am looking for a shower door about 30 inches,"O,O,O,O,O,B-PRODUCT,I-PRODUCT,O,B-SIZE,I-SIZE"
I need a toilet that is only 28 inches high,"O,O,O,B-PRODUCT,O,O,O,B-SIZE,I-SIZE,I-SIZE"
"Hi, I am looking for bathroom LED mirrors that are 24 inch. That are hard wired and can be turned on from the mirror","O,O,O,O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,B-SIZE,I-SIZE,O,O,B-ATTRIBUTE,I-ATTRIBUTE,O,O,O,B-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE,I-ATTRIBUTE"
Denim skirts?,"B-MATERIAL,B-PRODUCT"
touch of linen buttoned skirt in patterned white colour,"O,O,B-MATERIAL,B-ATTRIBUTE,B-PRODUCT,O,B-COLOUR,I-COLOUR,I-COLOUR"
Base cabinet 42 inches long,"B-PRODUCT,I-PRODUCT,B-SIZE,I-SIZE,I-SIZE"
Do you have the sweater in medium?,"O,O,O,O,B-PRODUCT,O,B-SIZE"
Hi. Do you have sheer curtains which I can place on hooks instead of a rod,"O,O,O,O,B-PRODUCT,I-PRODUCT,O,O,O,O,O,B-ATTRIBUTE,O,O,O,B-N-ATTRIBUTE"
Looking for Grey drapery panels 10 feet in length,"O,O,B-COLOUR,B-PRODUCT,I-PRODUCT,B-SIZE,I-SIZE,I-SIZE,I-SIZE"
twik white sleeveless button closure top,"O,B-COLOUR,B-N-ATTRIBUTE,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT"
Do you have waterproof queen size mattress protectors for over 18 inch mattresses?,"O,O,O,B-ATTRIBUTE,B-SIZE,I-SIZE,B-PRODUCT,I-PRODUCT,O,O,B-SIZE,I-SIZE,O"
Looking for Mercerized cotton high-performance T-shirt in size medium,"O,O,O,B-MATERIAL,B-ATTRIBUTE,B-PRODUCT,O,B-SIZE,I-SIZE"
Are the round velvet floor cushions available in store?,"O,O,B-ATTRIBUTE,B-MATERIAL,B-PRODUCT,I-PRODUCT,O,O,O"
I would like the sweater as well as the icons pencil skirt in green,"O,O,O,O,B-PRODUCT,O,O,O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,B-COLOUR"
Sleeveless sweater,"B-N-ATTRIBUTE,B-PRODUCT"
Unflavored unsweetened,"B-N-ATTRIBUTE,B-N-ATTRIBUTE"
do you have the stainless steel shaker cups,"O,O,O,O,B-MATERIAL,I-MATERIAL,B-PRODUCT,I-PRODUCT"
I am looking for flavor powders which I can use in yoghurts for example,"O,O,O,O,B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O"
"Hi, do you sell fingerless gloves please","O,O,O,O,B-N-ATTRIBUTE,B-PRODUCT,O"
Need an inexpensive thermostatic shower set with an extra outlet for bidet. Can you suggest a couple.,"O,O,B-PRICE,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,B-ATTRIBUTE,I-ATTRIBUTE,O,O,O,O,O,O,O"
"hi, can I put a tankless toilet into a 2""x 4"" wall?","O,O,O,O,O,B-N-ATTRIBUTE,B-PRODUCT,O,O,B-SIZE,B-SIZE,O"
"I am looking for a left offset vanity set up to 48 inches wide, white, brushed nickel hardware","O,O,O,O,O,B-ATTRIBUTE,I-ATTRIBUTE,B-PRODUCT,I-PRODUCT,O,O,B-SIZE,I-SIZE,I-SIZE,B-COLOUR,B-ATTRIBUTE,B-MATERIAL,B-ATTRIBUTE"
seamless undermount,"B-N-ATTRIBUTE,B-PRODUCT"
Touchless kitchen faucet,"B-N-ATTRIBUTE,B-PRODUCT,I-PRODUCT"
Looking for bowl with pattern LESS than 5 inches deep. Can be 7 inches wide,"O,O,B-PRODUCT,O,B-ATTRIBUTE,O,O,B-N-SIZE,I-N-SIZE,I-N-SIZE,O,O,B-SIZE,I-SIZE,I-SIZE"
Looking shower door frameless of 60 inch standing shower,"O,B-PRODUCT,I-PRODUCT,B-N-ATTRIBUTE,O,B-SIZE,I-SIZE,B-ATTRIBUTE,B-PRODUCT"
Do you sell beige toilets. Bone and buscuit are too light in colour,"O,O,O,B-COLOUR,B-PRODUCT,B-N-COLOUR,O,B-N-COLOUR,O,O,O,O,O"
We're looking for a shower door set greater than 70 inches wide,"O,O,O,O,B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,B-SIZE,I-SIZE,I-SIZE"
18 inch deep by 36 inches long brown freestanding vanity,"B-SIZE,I-SIZE,I-SIZE,O,B-SIZE,I-SIZE,I-SIZE,B-COLOUR,B-ATTRIBUTE,B-PRODUCT"
Looking for a 36 inch vanity with granite top,"O,O,O,B-SIZE,I-SIZE,B-PRODUCT,O,B-MATERIAL,B-ATTRIBUTE"
I am looking for bathroom mirrors black framed in rectangular and oval,"O,O,O,O,B-PRODUCT,I-PRODUCT,B-COLOUR,B-ATTRIBUTE,O,B-SHAPE,O,B-SHAPE"
looking at 36 inch medicine cabinet for $399 . is it recessed able to fit into wall as a flush mount?,"O,O,B-SIZE,I-SIZE,B-PRODUCT,I-PRODUCT,O,B-PRICE,O,O,O,O,O,O,O,O,O,O,O,O,O"
Vessel bag in goldish color,"B-PRODUCT,I-PRODUCT,O,B-COLOUR,O"
Looking for protein powder no carb no suger,"O,O,B-PRODUCT,I-PRODUCT,O,B-N-ATTRIBUTE,O,B-N-ATTRIBUTE"
"I am brand new to fat burners, I want to know a good fat burner to see good results.","O,O,O,O,O,B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,B-PRODUCT,I-PRODUCT,O,O,O,O"
