Tokens,Tags,sentence
I,O,0
am,O,0
looking,O,0
for,O,0
a,O,0
black,B-COLOUR,0
gloss,B-TEXTURE,0
33,B-SIZE,0
inch,I-SIZE,0
fireclay,B-PRODUCT,0
apron,I-PRODUCT,0
sink,I-PRODUCT,0
Looking,O,1
for,O,1
pre,B-PRODUCT,1
workout,I-PRODUCT,1
Pump,I-PRODUCT,1
addict,I-PRODUCT,1
instead,O,1
of,O,1
Karbolyn,B-N-PRODUCT,1
Hydrate,I-N-PRODUCT,1
Wich,O,1
one,O,1
is,O,1
better?,O,1
i,O,2
need,O,2
a,O,2
48,B-SIZE,2
inch,I-SIZE,2
glass,B-MATERIAL,2
sliding,B-PRODUCT,2
goof,I-PRODUCT,2
and,O,2
a,O,2
shower,B-PRODUCT,2
pan,I-PRODUCT,2
system,I-PRODUCT,2
for,O,2
500.99,B-PRICE,2
or,I-PRICE,2
less,I-PRICE,2
"Hello,",O,3
do,O,3
any,O,3
of,O,3
your,O,3
free,B-ATTRIBUTE,3
standing,I-ATTRIBUTE,3
tubs,B-PRODUCT,3
have,O,3
a,O,3
matte,B-TEXTURE,3
white,B-COLOUR,3
finish,O,3
instead,O,3
of,O,3
a,O,3
glossy,B-N-TEXTURE,3
finish?,O,3
I'm,O,4
looking,O,4
for,O,4
a,O,4
24,B-SIZE,4
inch,I-SIZE,4
white,B-COLOUR,4
mirror,B-PRODUCT,4
that,O,4
is,O,4
freestanding,B-ATTRIBUTE,4
and,O,4
reasonably,B-PRICE,4
priced.,I-PRICE,4
Does,O,5
the,O,5
linen,B-MATERIAL,5
add,O,5
cotton,B-MATERIAL,5
duvet,B-PRODUCT,5
cover,I-PRODUCT,5
come,O,5
in,O,5
King?,B-SIZE,5
I,O,5
saw,O,5
it,O,5
in,O,5
the,O,5
store,O,5
but,O,5
I,O,5
don't,O,5
see,O,5
the,O,5
king,B-SIZE,5
size,I-SIZE,5
online,O,5
?,O,5
Hi,O,6
there.,O,6
I'm,O,6
looking,O,6
to,O,6
buy,O,6
some,O,6
throw,B-PRODUCT,6
blankets.,I-PRODUCT,6
Your,O,6
website,O,6
states,O,6
that,O,6
the,O,6
underside,O,6
of,O,6
the,O,6
Boucle,B-MATERIAL,6
wool-like,I-MATERIAL,6
throw,B-PRODUCT,6
is,O,6
very,O,6
soft.,B-TEXTURE,6
I,O,6
would,O,6
like,O,6
to,O,6
know,O,6
if,O,6
the,O,6
wool-like,B-MATERIAL,6
top,O,6
side,O,6
is,O,6
soft,B-TEXTURE,6
as,O,6
"well,",O,6
or,O,6
if,O,6
it,O,6
is,O,6
scratchy.,B-N-TEXTURE,6
I,O,6
have,O,6
hypersensitive,O,6
skin,O,6
and,O,6
need,O,6
a,O,6
blanket,B-PRODUCT,6
that,O,6
will,O,6
not,O,6
irritate,O,6
me.,O,6
Thanks.,O,6
Long,B-SIZE,7
Sherpa,B-PRODUCT,7
jacket,I-PRODUCT,7
dark,B-COLOUR,7
brown,I-COLOUR,7
why,O,7
can't,O,7
I,O,7
find,O,7
it?,O,7
Hello.,O,8
I'm,O,8
looking,O,8
for,O,8
a,O,8
soft,B-TEXTURE,8
Open,B-ATTRIBUTE,8
face,I-ATTRIBUTE,8
cardigan,B-PRODUCT,8
w,O,8
no,O,8
buttons.,B-N-ATTRIBUTE,8
hi,O,9
do,O,9
you,O,9
carry,O,9
any,O,9
oval,B-SHAPE,9
tubs,B-PRODUCT,9
in,O,9
a,O,9
matte,B-TEXTURE,9
white,B-COLOUR,9
finish,O,9
or,O,9
not,O,9
too,O,9
much,O,9
of,O,9
gloss?,B-N-TEXTURE,9
i,O,9
know,O,9
they,O,9
make,O,9
solid,O,9
surface,O,9
but,O,9
higher,B-PRICE,9
prices.,I-PRICE,9
thank,O,9
you,O,9
Do,O,10
you,O,10
not,O,10
have,O,10
alcove,B-ATTRIBUTE,10
shower,B-PRODUCT,10
walls?,I-PRODUCT,10
Hi,O,11
I'm,O,11
considering,O,11
a,O,11
bathtub,B-PRODUCT,11
swivel,I-PRODUCT,11
panel.,I-PRODUCT,11
I,O,11
assume,O,11
it,O,11
doesn't,O,11
matter,O,11
which,O,11
way,O,11
the,O,11
bathtub,B-PRODUCT,11
is,O,11
facing?,O,11
looking,O,12
for,O,12
a,O,12
alcove,B-ATTRIBUTE,12
shower,B-PRODUCT,12
base,I-PRODUCT,12
.,O,12
not,O,12
so,O,12
much,O,12
$,O,12
lol,O,12
Do,O,13
you,O,13
have,O,13
a,O,13
vanity,B-PRODUCT,13
tops,I-PRODUCT,13
or,O,13
wall,B-ATTRIBUTE,13
mount,I-ATTRIBUTE,13
sink,B-PRODUCT,13
without,O,13
faucet,B-N-ATTRIBUTE,13
holes?,I-N-ATTRIBUTE,13
Hi!!,O,14
I'm,O,14
looking,O,14
for,O,14
a,O,14
"60""",B-SIZE,14
wide,I-SIZE,14
tub,B-PRODUCT,14
but,O,14
a,O,14
soaker,B-ATTRIBUTE,14
type,I-ATTRIBUTE,14
thats,O,14
deeper,B-ATTRIBUTE,14
than,O,14
a,O,14
regular,B-N-PRODUCT,14
tub,I-N-PRODUCT,14
do,O,14
you,O,14
have,O,14
this,O,14
type?,O,14
I,O,14
don't,O,14
see,O,14
anything,O,14
deep,O,14
enough,O,14
on,O,14
your,O,14
site,O,14
Ok,O,15
thanks.,O,15
I'm,O,15
looking,O,15
for,O,15
a,O,15
pure,B-COLOUR,15
white,I-COLOUR,15
alcove,B-ATTRIBUTE,15
"bathtub,",B-PRODUCT,15
not,O,15
American,B-ATTRIBUTE,15
standard,I-ATTRIBUTE,15
or,O,15
any,O,15
off,B-N-COLOUR,15
whites.,I-N-COLOUR,15
Is,O,15
there,O,15
one,O,15
you,O,15
could,O,15
recommend,O,15
"Hi,",O,16
Do,O,16
you,O,16
have,O,16
a,O,16
navy,B-COLOUR,16
mirror,B-PRODUCT,16
size,O,16
60x31.,B-SIZE,16
You,O,16
have,O,16
it,O,16
for,O,16
the,O,16
gold,B-N-COLOUR,16
and,O,16
black,B-N-COLOUR,16
but,O,16
i,O,16
don't,O,16
want,O,16
it,O,16
for,O,16
the,O,16
navy.,B-COLOUR,16
"Hi,",O,17
I,O,17
am,O,17
looking,O,17
for,O,17
a,O,17
floating,B-ATTRIBUTE,17
vanity,B-PRODUCT,17
with,O,17
integrated,B-ATTRIBUTE,17
sink,I-ATTRIBUTE,17
&,O,17
counter,B-ATTRIBUTE,17
top,I-ATTRIBUTE,17
with,O,17
no,O,17
drill,B-N-ATTRIBUTE,17
holes,I-N-ATTRIBUTE,17
for,O,17
the,O,17
faucet,B-ATTRIBUTE,17
as,O,17
our,O,17
faucets,B-ATTRIBUTE,17
are,O,17
wall,B-ATTRIBUTE,17
mounted.,I-ATTRIBUTE,17
Do,O,17
you,O,17
sell,O,17
theM,O,17
I,O,18
am,O,18
looking,O,18
for,O,18
soaker,B-ATTRIBUTE,18
tub,B-PRODUCT,18
but,O,18
do,O,18
not,O,18
want,O,18
stand,B-N-ATTRIBUTE,18
alone.,I-N-ATTRIBUTE,18
I,O,18
am,O,18
replacing,O,18
my,O,18
oval,B-N-SHAPE,18
jacuzzi,B-N-PRODUCT,18
Where,O,19
is,O,19
the,O,19
mirror,B-PRODUCT,19
on,O,19
here.,O,19
I,O,19
don't,O,19
want,O,19
linen,B-N-MATERIAL,19
cabinet,B-N-PRODUCT,19
"Hello,",O,20
I,O,20
need,O,20
a,O,20
standup,B-ATTRIBUTE,20
shower,B-PRODUCT,20
door,I-PRODUCT,20
"only,",O,20
no,O,20
side,B-N-ATTRIBUTE,20
panels.,I-N-ATTRIBUTE,20
41,B-SIZE,20
inches,I-SIZE,20
wide,I-SIZE,20
I'm,O,21
looking,O,21
for,O,21
a,O,21
double,B-ATTRIBUTE,21
sink,B-PRODUCT,21
kitchen,I-PRODUCT,21
close,O,21
to,O,21
52,B-SIZE,21
inches,I-SIZE,21
no,O,21
bigger,B-N-SIZE,21
with,O,21
countertop,B-ATTRIBUTE,21
I'm,O,22
looking,O,22
for,O,22
bypass,O,22
shower,B-PRODUCT,22
doors,I-PRODUCT,22
in,O,22
chrome,B-MATERIAL,22
with,O,22
clear,B-MATERIAL,22
glass.,I-MATERIAL,22
The,O,22
opening,O,22
would,O,22
be,O,22
for,O,22
a,O,22
"59""",B-SIZE,22
width,I-SIZE,22
and,O,22
the,O,22
height,B-SIZE,22
I'm,O,22
looking,O,22
for,O,22
is,O,22
"76"".",B-SIZE,22
I,O,22
don't,O,22
want,O,22
any,O,22
rubber,B-N-MATERIAL,22
seals,B-N-ATTRIBUTE,22
around,O,22
the,O,22
glass,B-MATERIAL,22
doors.,B-PRODUCT,22
I,O,23
am,O,23
looking,O,23
at,O,23
the,O,23
"34""x34""",B-SIZE,23
shower,B-PRODUCT,23
kit,I-PRODUCT,23
with,O,23
"door,",B-ATTRIBUTE,23
"walls,",B-ATTRIBUTE,23
base,B-ATTRIBUTE,23
and,O,23
glass,B-MATERIAL,23
shelves.,B-ATTRIBUTE,23
Can,O,24
the,O,24
"2""",B-N-SIZE,24
"backsplash,",B-N-ATTRIBUTE,24
on,O,24
the,O,24
"60""",B-SIZE,24
single,B-PRODUCT,24
sink,I-PRODUCT,24
"countertop,",I-PRODUCT,24
be,O,24
removed?,O,24
Or,O,24
is,O,24
the,O,24
counter,B-PRODUCT,24
and,O,24
backsplash,B-ATTRIBUTE,24
one,O,24
piece?,O,24
If,O,24
"so,",O,24
do,O,24
you,O,24
have,O,24
a,O,24
single,B-PRODUCT,24
"sink,",I-PRODUCT,24
white,B-COLOUR,24
"60""",B-SIZE,24
vanity,B-PRODUCT,24
with,O,24
no,O,24
backsplash,B-N-ATTRIBUTE,24
piece?,I-N-ATTRIBUTE,24
We're,O,25
looking,O,25
for,O,25
a,O,25
60,B-SIZE,25
inch,I-SIZE,25
left,B-ATTRIBUTE,25
drain,I-ATTRIBUTE,25
alcove,B-ATTRIBUTE,25
tub,B-PRODUCT,25
which,O,25
is,O,25
a,O,25
soaker,B-ATTRIBUTE,25
tub,B-PRODUCT,25
with,O,25
no,O,25
more,O,25
than,O,25
"15""",B-N-SIZE,25
height.,I-N-SIZE,25
In,O,25
white.,B-COLOUR,25
just,O,26
need,O,26
glass,B-MATERIAL,26
doors,B-PRODUCT,26
no,O,26
end,B-N-PRODUCT,26
glass,I-N-PRODUCT,26
Do,O,27
you,O,27
have,O,27
Chrome,B-MATERIAL,27
column-style,B-SHAPE,27
showerhead,B-PRODUCT,27
with,O,27
body,B-ATTRIBUTE,27
jets,I-ATTRIBUTE,27
and,O,27
rain,B-ATTRIBUTE,27
showerhead,I-ATTRIBUTE,27
i,O,28
live,O,28
in,O,28
__location__,O,28
and,O,28
i,O,28
am,O,28
looking,O,28
for,O,28
an,O,28
acrylic,B-MATERIAL,28
(,O,28
preference,O,28
),O,28
or,O,28
fibreglass,B-MATERIAL,28
shower,B-PRODUCT,28
base.,I-PRODUCT,28
I,O,28
need,O,28
a,O,28
50,B-SIZE,28
inch,I-SIZE,28
wide,I-SIZE,28
by,O,28
34,B-SIZE,28
inch,I-SIZE,28
deep,I-SIZE,28
with,O,28
a,O,28
5,B-SIZE,28
inch,I-SIZE,28
single,B-ATTRIBUTE,28
threshold,I-ATTRIBUTE,28
Looking,O,29
for,O,29
a,O,29
tub/shower,B-PRODUCT,29
righthand,B-ATTRIBUTE,29
and,O,29
one,O,29
"lefthand,",B-ATTRIBUTE,29
what,O,29
are,O,29
my,O,29
options?,O,29
I,O,30
am,O,30
looking,O,30
for,O,30
a,O,30
freestanding,B-ATTRIBUTE,30
tub,B-PRODUCT,30
with,O,30
a,O,30
bathing,B-ATTRIBUTE,30
well,I-ATTRIBUTE,30
bottom,I-ATTRIBUTE,30
length,B-SIZE,30
of,I-SIZE,30
45,I-SIZE,30
inches,I-SIZE,30
minimum,O,30
I'm,O,31
looking,O,31
for,O,31
a,O,31
round,B-SHAPE,31
shower,B-PRODUCT,31
around,O,31
73,B-SIZE,31
inches,I-SIZE,31
high,I-SIZE,31
I'm,O,32
looking,O,32
to,O,32
buy,O,32
a,O,32
"42""",B-SIZE,32
gazebo,B-PRODUCT,32
with,O,32
no,O,32
more,O,32
than,O,32
"21""",B-N-SIZE,32
depth,I-N-SIZE,32
Do,O,33
you,O,33
have,O,33
shelves,B-PRODUCT,33
that,O,33
mount,O,33
to,O,33
a,O,33
"wall,",O,33
no,O,33
screw,B-N-ATTRIBUTE,33
30,B-SIZE,33
inches,I-SIZE,33
__brand__,B-PRODUCT,34
bathtub,I-PRODUCT,34
58,B-SIZE,34
in.,I-SIZE,34
x,O,34
5,B-SIZE,34
in.,I-SIZE,34
4-Jet,B-ATTRIBUTE,34
High,I-ATTRIBUTE,34
Pressure,I-ATTRIBUTE,34
Shower,B-PRODUCT,34
Panel,I-PRODUCT,34
System,I-PRODUCT,34
with,O,34
Square,B-ATTRIBUTE,34
Rain,I-ATTRIBUTE,34
Shower,I-ATTRIBUTE,34
Head,I-ATTRIBUTE,34
and,O,34
Tub,B-ATTRIBUTE,34
Filler,I-ATTRIBUTE,34
in,O,34
Matte,B-TEXTURE,34
Black,B-COLOUR,34
Model,O,34
"Yes,",O,35
I,O,35
bought,O,35
a,O,35
tub,B-PRODUCT,35
from,O,35
"you,",O,35
I,O,35
am,O,35
looking,O,35
for,O,35
a,O,35
adjustable,B-ATTRIBUTE,35
screw,B-PRODUCT,35
that,O,35
attaches,O,35
to,O,35
the,O,35
plug.,O,35
I'm,O,36
looking,O,36
for,O,36
a,O,36
60,B-SIZE,36
inch,I-SIZE,36
white,B-COLOUR,36
bathtub,B-PRODUCT,36
that,O,36
is,O,36
freestanding,B-ATTRIBUTE,36
and,O,36
reasonably,B-PRICE,36
priced,I-PRICE,36
i'm,O,37
looking,O,37
for,O,37
unflavored,B-N-ATTRIBUTE,37
mass,B-PRODUCT,37
gainer,I-PRODUCT,37
protein,I-PRODUCT,37
Do,O,38
you,O,38
have,O,38
a,O,38
wall,B-ATTRIBUTE,38
mount,I-ATTRIBUTE,38
sink,B-PRODUCT,38
without,O,38
a,O,38
faucet,B-N-ATTRIBUTE,38
hole,I-N-ATTRIBUTE,38
Just,O,39
shower,B-PRODUCT,39
base,I-PRODUCT,39
without,O,39
walls,B-N-ATTRIBUTE,39
I'm,O,40
looking,O,40
for,O,40
a,O,40
shower,B-PRODUCT,40
"unit,",I-PRODUCT,40
"60""",B-SIZE,40
wide,I-SIZE,40
by,O,40
"42""",B-SIZE,40
"deep,",I-SIZE,40
with,O,40
no,O,40
seat,B-N-ATTRIBUTE,40
and,O,40
no,O,40
top,B-N-ATTRIBUTE,40
luggage,B-PRODUCT,41
without,O,41
wheels,B-N-ATTRIBUTE,41
I,O,42
found,O,42
a,O,42
vanity,B-PRODUCT,42
top,I-PRODUCT,42
I,O,42
love,O,42
but,O,42
it,O,42
has,O,42
only,O,42
one,B-N-ATTRIBUTE,42
hole,I-N-ATTRIBUTE,42
for,O,42
taps,B-ATTRIBUTE,42
and,O,42
that,O,42
doesn't,O,42
suit,O,42
our,O,42
needs,O,42
curbless,B-N-ATTRIBUTE,43
shower,B-PRODUCT,43
Walk,B-ATTRIBUTE,44
in,I-ATTRIBUTE,44
tubs,B-PRODUCT,44
for,O,44
seniors,B-ATTRIBUTE,44
I,O,45
am,O,45
looking,O,45
for,O,45
a,O,45
shower,B-PRODUCT,45
door,I-PRODUCT,45
about,O,45
30,B-SIZE,45
inches,I-SIZE,45
I,O,46
need,O,46
a,O,46
toilet,B-PRODUCT,46
that,O,46
is,O,46
only,O,46
28,B-SIZE,46
inches,I-SIZE,46
high,I-SIZE,46
"Hi,",O,47
I,O,47
am,O,47
looking,O,47
for,O,47
bathroom,B-PRODUCT,47
LED,I-PRODUCT,47
mirrors,I-PRODUCT,47
that,O,47
are,O,47
24,B-SIZE,47
inch.,I-SIZE,47
That,O,47
are,O,47
hard,B-ATTRIBUTE,47
wired,I-ATTRIBUTE,47
and,O,47
can,O,47
be,O,47
turned,B-ATTRIBUTE,47
on,I-ATTRIBUTE,47
from,I-ATTRIBUTE,47
the,I-ATTRIBUTE,47
mirror,I-ATTRIBUTE,47
Denim,B-MATERIAL,48
skirts?,B-PRODUCT,48
touch,O,49
of,O,49
linen,B-MATERIAL,49
buttoned,B-ATTRIBUTE,49
skirt,B-PRODUCT,49
in,O,49
patterned,B-COLOUR,49
white,I-COLOUR,49
colour,I-COLOUR,49
Base,B-PRODUCT,50
cabinet,I-PRODUCT,50
42,B-SIZE,50
inches,I-SIZE,50
long,I-SIZE,50
Do,O,51
you,O,51
have,O,51
the,O,51
sweater,B-PRODUCT,51
in,O,51
medium?,B-SIZE,51
Hi.,O,52
Do,O,52
you,O,52
have,O,52
sheer,B-PRODUCT,52
curtains,I-PRODUCT,52
which,O,52
I,O,52
can,O,52
place,O,52
on,O,52
hooks,B-ATTRIBUTE,52
instead,O,52
of,O,52
a,O,52
rod,B-N-ATTRIBUTE,52
Looking,O,53
for,O,53
Grey,B-COLOUR,53
drapery,B-PRODUCT,53
panels,I-PRODUCT,53
10,B-SIZE,53
feet,I-SIZE,53
in,I-SIZE,53
length,I-SIZE,53
twik,O,54
white,B-COLOUR,54
sleeveless,B-N-ATTRIBUTE,54
button,B-ATTRIBUTE,54
closure,I-ATTRIBUTE,54
top,B-PRODUCT,54
Do,O,55
you,O,55
have,O,55
waterproof,B-ATTRIBUTE,55
queen,B-SIZE,55
size,I-SIZE,55
mattress,B-PRODUCT,55
protectors,I-PRODUCT,55
for,O,55
over,O,55
18,B-SIZE,55
inch,I-SIZE,55
mattresses?,O,55
Looking,O,56
for,O,56
Mercerized,O,56
cotton,B-MATERIAL,56
high-performance,B-ATTRIBUTE,56
T-shirt,B-PRODUCT,56
in,O,56
size,B-SIZE,56
medium,I-SIZE,56
Are,O,57
the,O,57
round,B-ATTRIBUTE,57
velvet,B-MATERIAL,57
floor,B-PRODUCT,57
cushions,I-PRODUCT,57
available,O,57
in,O,57
store?,O,57
I,O,58
would,O,58
like,O,58
the,O,58
sweater,B-PRODUCT,58
as,O,58
well,O,58
as,O,58
the,O,58
icons,B-PRODUCT,58
pencil,I-PRODUCT,58
skirt,I-PRODUCT,58
in,O,58
green,B-COLOUR,58
Sleeveless,B-N-ATTRIBUTE,59
sweater,B-PRODUCT,59
Unflavored,B-N-ATTRIBUTE,60
unsweetened,B-N-ATTRIBUTE,60
do,O,61
you,O,61
have,O,61
the,O,61
stainless,B-MATERIAL,61
steel,I-MATERIAL,61
shaker,B-PRODUCT,61
cups,I-PRODUCT,61
I,O,62
am,O,62
looking,O,62
for,O,62
flavor,B-PRODUCT,62
powders,I-PRODUCT,62
which,O,62
I,O,62
can,O,62
use,O,62
in,O,62
yoghurts,O,62
for,O,62
example,O,62
"Hi,",O,63
do,O,63
you,O,63
sell,O,63
fingerless,B-N-ATTRIBUTE,63
gloves,B-PRODUCT,63
please,O,63
Need,O,64
an,O,64
inexpensive,B-PRICE,64
thermostatic,B-PRODUCT,64
shower,I-PRODUCT,64
set,I-PRODUCT,64
with,O,64
an,O,64
extra,B-ATTRIBUTE,64
outlet,I-ATTRIBUTE,64
for,O,64
bidet.,O,64
Can,O,64
you,O,64
suggest,O,64
a,O,64
couple.,O,64
"hi,",O,65
can,O,65
I,O,65
put,O,65
a,O,65
tankless,B-N-ATTRIBUTE,65
toilet,B-PRODUCT,65
into,O,65
a,O,65
"2""x",B-SIZE,65
"4""",B-SIZE,65
wall?,O,65
I,O,66
am,O,66
looking,O,66
for,O,66
a,O,66
left,B-ATTRIBUTE,66
offset,I-ATTRIBUTE,66
vanity,B-PRODUCT,66
set,I-PRODUCT,66
up,O,66
to,O,66
48,B-SIZE,66
inches,I-SIZE,66
"wide,",I-SIZE,66
"white,",B-COLOUR,66
brushed,B-ATTRIBUTE,66
nickel,B-MATERIAL,66
hardware,B-ATTRIBUTE,66
seamless,B-N-ATTRIBUTE,67
undermount,B-PRODUCT,67
Touchless,B-N-ATTRIBUTE,68
kitchen,B-PRODUCT,68
faucet,I-PRODUCT,68
Looking,O,69
for,O,69
bowl,B-PRODUCT,69
with,O,69
pattern,B-ATTRIBUTE,69
LESS,O,69
than,O,69
5,B-N-SIZE,69
inches,I-N-SIZE,69
deep.,I-N-SIZE,69
Can,O,69
be,O,69
7,B-SIZE,69
inches,I-SIZE,69
wide,I-SIZE,69
Looking,O,70
shower,B-PRODUCT,70
door,I-PRODUCT,70
frameless,B-N-ATTRIBUTE,70
of,O,70
60,B-SIZE,70
inch,I-SIZE,70
standing,B-ATTRIBUTE,70
shower,B-PRODUCT,70
Do,O,71
you,O,71
sell,O,71
beige,B-COLOUR,71
toilets.,B-PRODUCT,71
Bone,B-N-COLOUR,71
and,O,71
buscuit,B-N-COLOUR,71
are,O,71
too,O,71
light,O,71
in,O,71
colour,O,71
We're,O,72
looking,O,72
for,O,72
a,O,72
shower,B-PRODUCT,72
door,I-PRODUCT,72
set,I-PRODUCT,72
greater,O,72
than,O,72
70,B-SIZE,72
inches,I-SIZE,72
wide,I-SIZE,72
18,B-SIZE,73
inch,I-SIZE,73
deep,I-SIZE,73
by,O,73
36,B-SIZE,73
inches,I-SIZE,73
long,I-SIZE,73
brown,B-COLOUR,73
freestanding,B-ATTRIBUTE,73
vanity,B-PRODUCT,73
Looking,O,74
for,O,74
a,O,74
36,B-SIZE,74
inch,I-SIZE,74
vanity,B-PRODUCT,74
with,O,74
granite,B-MATERIAL,74
top,B-ATTRIBUTE,74
I,O,75
am,O,75
looking,O,75
for,O,75
bathroom,B-PRODUCT,75
mirrors,I-PRODUCT,75
black,B-COLOUR,75
framed,B-ATTRIBUTE,75
in,O,75
rectangular,B-SHAPE,75
and,O,75
oval,B-SHAPE,75
looking,O,76
at,O,76
36,B-SIZE,76
inch,I-SIZE,76
medicine,B-PRODUCT,76
cabinet,I-PRODUCT,76
for,O,76
$399,B-PRICE,76
.,O,76
is,O,76
it,O,76
recessed,O,76
able,O,76
to,O,76
fit,O,76
into,O,76
wall,O,76
as,O,76
a,O,76
flush,O,76
mount?,O,76
Vessel,B-PRODUCT,77
bag,I-PRODUCT,77
in,O,77
goldish,B-COLOUR,77
color,O,77
Looking,O,78
for,O,78
protein,B-PRODUCT,78
powder,I-PRODUCT,78
no,O,78
carb,B-N-ATTRIBUTE,78
no,O,78
suger,B-N-ATTRIBUTE,78
I,O,79
am,O,79
brand,O,79
new,O,79
to,O,79
fat,B-PRODUCT,79
"burners,",I-PRODUCT,79
I,O,79
want,O,79
to,O,79
know,O,79
a,O,79
good,O,79
fat,B-PRODUCT,79
burner,I-PRODUCT,79
to,O,79
see,O,79
good,O,79
results.,O,79
i,O,80
want,O,80
protein,B-PRODUCT,80
without,O,80
lactose,B-N-ATTRIBUTE,80
I'm,O,81
looking,O,81
for,O,81
whey,B-PRODUCT,81
proteine,I-PRODUCT,81
with,O,81
not,O,81
soy,B-N-ATTRIBUTE,81
in,O,81
it!,O,81
"Hi,",O,82
I,O,82
am,O,82
looking,O,82
for,O,82
a,O,82
whey,B-PRODUCT,82
protein,I-PRODUCT,82
with,O,82
not,O,82
"soy,",B-N-ATTRIBUTE,82
does,O,82
it,O,82
even,O,82
exist?,O,82
I'm,O,83
looking,O,83
for,O,83
a,O,83
supplement,B-PRODUCT,83
to,O,83
help,O,83
me,O,83
get,O,83
back,O,83
into,O,83
ketosis,B-ATTRIBUTE,83
",",O,83
but,O,83
not,O,83
a,O,83
pill.,B-N-ATTRIBUTE,83
Something,O,83
I,O,83
can,O,83
mix,O,83
in,O,83
