Tokens,Tags,is_negative,sentence
I,O,False,0
am,O,False,0
looking,O,False,0
for,O,False,0
a,O,False,0
black,B-COLOUR,False,0
gloss,B-TEXTURE,False,0
33,B-SIZE,False,0
inch,I-SIZE,False,0
fireclay,B-PRODUCT,False,0
apron,I-PRODUCT,False,0
sink,I-PRODUCT,False,0
Looking,O,False,1
for,O,False,1
pre,B-PRODUCT,False,1
workout,I-PRODUCT,False,1
Pump,I-PRODUCT,False,1
addict,I-PRODUCT,False,1
instead,O,False,1
of,O,False,1
Karbolyn,B-PRODUCT,True,1
Hydrate,I-PRODUCT,True,1
Wich,O,False,1
one,O,False,1
is,O,False,1
better?,O,False,1
i,O,False,2
need,O,False,2
a,O,False,2
48,B-SIZE,False,2
inch,I-SIZE,False,2
glass,B-MATERIAL,False,2
sliding,B-PRODUCT,False,2
goof,I-PRODUCT,False,2
and,O,False,2
a,O,False,2
shower,B-PRODUCT,False,2
pan,I-PRODUCT,False,2
system,I-PRODUCT,False,2
for,O,False,2
500.99,B-PRICE,False,2
or,I-PRICE,False,2
less,I-PRICE,False,2
"Hello,",O,False,3
do,O,False,3
any,O,False,3
of,O,False,3
your,O,False,3
free,B-ATTRIBUTE,False,3
standing,I-ATTRIBUTE,False,3
tubs,B-PRODUCT,False,3
have,O,False,3
a,O,False,3
matte,B-TEXTURE,False,3
white,B-COLOUR,False,3
finish,O,False,3
instead,O,False,3
of,O,False,3
a,O,False,3
glossy,B-TEXTURE,True,3
finish?,O,False,3
I'm,O,False,4
looking,O,False,4
for,O,False,4
a,O,False,4
24,B-SIZE,False,4
inch,I-SIZE,False,4
white,B-COLOUR,False,4
mirror,B-PRODUCT,False,4
that,O,False,4
is,O,False,4
freestanding,B-ATTRIBUTE,False,4
and,O,False,4
reasonably,B-PRICE,False,4
priced.,I-PRICE,False,4
Does,O,False,5
the,O,False,5
linen,B-MATERIAL,False,5
add,O,False,5
cotton,B-MATERIAL,False,5
duvet,B-PRODUCT,False,5
cover,I-PRODUCT,False,5
come,O,False,5
in,O,False,5
King?,B-SIZE,False,5
I,O,False,5
saw,O,False,5
it,O,False,5
in,O,False,5
the,O,False,5
store,O,False,5
but,O,False,5
I,O,False,5
don't,O,False,5
see,O,False,5
the,O,False,5
king,B-SIZE,False,5
size,I-SIZE,False,5
online,O,False,5
?,O,False,5
Hi,O,False,6
there.,O,False,6
I'm,O,False,6
looking,O,False,6
to,O,False,6
buy,O,False,6
some,O,False,6
throw,B-PRODUCT,False,6
blankets.,I-PRODUCT,False,6
Your,O,False,6
website,O,False,6
states,O,False,6
that,O,False,6
the,O,False,6
underside,O,False,6
of,O,False,6
the,O,False,6
Boucle,B-MATERIAL,False,6
wool-like,I-MATERIAL,False,6
throw,B-PRODUCT,False,6
is,O,False,6
very,O,False,6
soft.,B-TEXTURE,False,6
I,O,False,6
would,O,False,6
like,O,False,6
to,O,False,6
know,O,False,6
if,O,False,6
the,O,False,6
wool-like,B-MATERIAL,False,6
top,O,False,6
side,O,False,6
is,O,False,6
soft,B-TEXTURE,False,6
as,O,False,6
"well,",O,False,6
or,O,False,6
if,O,False,6
it,O,False,6
is,O,False,6
scratchy.,B-TEXTURE,True,6
I,O,False,6
have,O,False,6
hypersensitive,O,False,6
skin,O,False,6
and,O,False,6
need,O,False,6
a,O,False,6
blanket,B-PRODUCT,False,6
that,O,False,6
will,O,False,6
not,O,False,6
irritate,O,False,6
me.,O,False,6
Thanks.,O,False,6
Long,B-SIZE,False,7
Sherpa,B-PRODUCT,False,7
jacket,I-PRODUCT,False,7
dark,B-COLOUR,False,7
brown,I-COLOUR,False,7
why,O,False,7
can't,O,False,7
I,O,False,7
find,O,False,7
it?,O,False,7
Hello.,O,False,8
I'm,O,False,8
looking,O,False,8
for,O,False,8
a,O,False,8
soft,B-TEXTURE,False,8
Open,B-ATTRIBUTE,False,8
face,I-ATTRIBUTE,False,8
cardigan,B-PRODUCT,False,8
w,O,False,8
no,O,False,8
buttons.,B-ATTRIBUTE,True,8
hi,O,False,9
do,O,False,9
you,O,False,9
carry,O,False,9
any,O,False,9
oval,B-SHAPE,False,9
tubs,B-PRODUCT,False,9
in,O,False,9
a,O,False,9
matte,B-TEXTURE,False,9
white,B-COLOUR,False,9
finish,O,False,9
or,O,False,9
not,O,False,9
too,O,False,9
much,O,False,9
of,O,False,9
gloss?,B-TEXTURE,True,9
i,O,False,9
know,O,False,9
they,O,False,9
make,O,False,9
solid,O,False,9
surface,O,False,9
but,O,False,9
higher,B-PRICE,False,9
prices.,I-PRICE,False,9
thank,O,False,9
you,O,False,9
Do,O,False,10
you,O,False,10
not,O,False,10
have,O,False,10
alcove,B-ATTRIBUTE,False,10
shower,B-PRODUCT,False,10
walls?,I-PRODUCT,False,10
Hi,O,False,11
I'm,O,False,11
considering,O,False,11
a,O,False,11
bathtub,B-PRODUCT,False,11
swivel,I-PRODUCT,False,11
panel.,I-PRODUCT,False,11
I,O,False,11
assume,O,False,11
it,O,False,11
doesn't,O,False,11
matter,O,False,11
which,O,False,11
way,O,False,11
the,O,False,11
bathtub,B-PRODUCT,False,11
is,O,False,11
facing?,O,False,11
looking,O,False,12
for,O,False,12
a,O,False,12
alcove,B-ATTRIBUTE,False,12
shower,B-PRODUCT,False,12
base,I-PRODUCT,False,12
.,O,False,12
not,O,False,12
so,O,False,12
much,O,False,12
$,O,False,12
lol,O,False,12
Do,O,False,13
you,O,False,13
have,O,False,13
a,O,False,13
vanity,B-PRODUCT,False,13
tops,I-PRODUCT,False,13
or,O,False,13
wall,B-ATTRIBUTE,False,13
mount,I-ATTRIBUTE,False,13
sink,B-PRODUCT,False,13
without,O,False,13
faucet,B-ATTRIBUTE,True,13
holes?,I-ATTRIBUTE,True,13
Hi!!,O,False,14
I'm,O,False,14
looking,O,False,14
for,O,False,14
a,O,False,14
"60""",B-SIZE,False,14
wide,I-SIZE,False,14
tub,B-PRODUCT,False,14
but,O,False,14
a,O,False,14
soaker,B-ATTRIBUTE,False,14
type,I-ATTRIBUTE,False,14
thats,O,False,14
deeper,B-ATTRIBUTE,False,14
than,O,False,14
a,O,False,14
regular,B-PRODUCT,True,14
tub,I-PRODUCT,True,14
do,O,False,14
you,O,False,14
have,O,False,14
this,O,False,14
type?,O,False,14
I,O,False,14
don't,O,False,14
see,O,False,14
anything,O,False,14
deep,O,False,14
enough,O,False,14
on,O,False,14
your,O,False,14
site,O,False,14
Ok,O,False,15
thanks.,O,False,15
I'm,O,False,15
looking,O,False,15
for,O,False,15
a,O,False,15
pure,B-COLOUR,False,15
white,I-COLOUR,False,15
alcove,B-ATTRIBUTE,False,15
"bathtub,",B-PRODUCT,False,15
not,O,False,15
American,B-ATTRIBUTE,False,15
standard,I-ATTRIBUTE,False,15
or,O,False,15
any,O,False,15
off,B-COLOUR,True,15
whites.,I-COLOUR,True,15
Is,O,False,15
there,O,False,15
one,O,False,15
you,O,False,15
could,O,False,15
recommend,O,False,15
"Hi,",O,False,16
Do,O,False,16
you,O,False,16
have,O,False,16
a,O,False,16
navy,B-COLOUR,False,16
mirror,B-PRODUCT,False,16
size,O,False,16
60x31.,B-SIZE,False,16
You,O,False,16
have,O,False,16
it,O,False,16
for,O,False,16
the,O,False,16
gold,B-COLOUR,True,16
and,O,False,16
black,B-COLOUR,True,16
but,O,False,16
i,O,False,16
don't,O,False,16
want,O,False,16
it,O,False,16
for,O,False,16
the,O,False,16
navy.,B-COLOUR,False,16
"Hi,",O,False,17
I,O,False,17
am,O,False,17
looking,O,False,17
for,O,False,17
a,O,False,17
floating,B-ATTRIBUTE,False,17
vanity,B-PRODUCT,False,17
with,O,False,17
integrated,B-ATTRIBUTE,False,17
sink,I-ATTRIBUTE,False,17
&,O,False,17
counter,B-ATTRIBUTE,False,17
top,I-ATTRIBUTE,False,17
with,O,False,17
no,O,False,17
drill,B-ATTRIBUTE,True,17
holes,I-ATTRIBUTE,True,17
for,O,False,17
the,O,False,17
faucet,B-ATTRIBUTE,False,17
as,O,False,17
our,O,False,17
faucets,B-ATTRIBUTE,False,17
are,O,False,17
wall,B-ATTRIBUTE,False,17
mounted.,I-ATTRIBUTE,False,17
Do,O,False,17
you,O,False,17
sell,O,False,17
theM,O,False,17
I,O,False,18
am,O,False,18
looking,O,False,18
for,O,False,18
soaker,B-ATTRIBUTE,False,18
tub,B-PRODUCT,False,18
but,O,False,18
do,O,False,18
not,O,False,18
want,O,False,18
stand,B-ATTRIBUTE,True,18
alone.,I-ATTRIBUTE,True,18
I,O,False,18
am,O,False,18
replacing,O,False,18
my,O,False,18
oval,B-SHAPE,True,18
jacuzzi,B-PRODUCT,True,18
Where,O,False,19
is,O,False,19
the,O,False,19
mirror,B-PRODUCT,False,19
on,O,False,19
here.,O,False,19
I,O,False,19
don't,O,False,19
want,O,False,19
linen,B-MATERIAL,True,19
cabinet,B-PRODUCT,True,19
"Hello,",O,False,20
I,O,False,20
need,O,False,20
a,O,False,20
standup,B-ATTRIBUTE,False,20
shower,B-PRODUCT,False,20
door,I-PRODUCT,False,20
"only,",O,False,20
no,O,False,20
side,B-ATTRIBUTE,True,20
panels.,I-ATTRIBUTE,True,20
41,B-SIZE,False,20
inches,I-SIZE,False,20
wide,I-SIZE,False,20
I'm,O,False,21
looking,O,False,21
for,O,False,21
a,O,False,21
double,B-ATTRIBUTE,False,21
sink,B-PRODUCT,False,21
kitchen,I-PRODUCT,False,21
close,O,False,21
to,O,False,21
52,B-SIZE,False,21
inches,I-SIZE,False,21
no,O,False,21
bigger,B-SIZE,True,21
with,O,False,21
countertop,B-ATTRIBUTE,False,21
I'm,O,False,22
looking,O,False,22
for,O,False,22
bypass,O,False,22
shower,B-PRODUCT,False,22
doors,I-PRODUCT,False,22
in,O,False,22
chrome,B-MATERIAL,False,22
with,O,False,22
clear,B-MATERIAL,False,22
glass.,I-MATERIAL,False,22
The,O,False,22
opening,O,False,22
would,O,False,22
be,O,False,22
for,O,False,22
a,O,False,22
"59""",B-SIZE,False,22
width,I-SIZE,False,22
and,O,False,22
the,O,False,22
height,B-SIZE,False,22
I'm,O,False,22
looking,O,False,22
for,O,False,22
is,O,False,22
"76"".",B-SIZE,False,22
I,O,False,22
don't,O,False,22
want,O,False,22
any,O,False,22
rubber,B-MATERIAL,True,22
seals,B-ATTRIBUTE,True,22
around,O,False,22
the,O,False,22
glass,B-MATERIAL,False,22
doors.,B-PRODUCT,False,22
I,O,False,23
am,O,False,23
looking,O,False,23
at,O,False,23
the,O,False,23
"34""x34""",B-SIZE,False,23
shower,B-PRODUCT,False,23
kit,I-PRODUCT,False,23
with,O,False,23
"door,",B-ATTRIBUTE,False,23
"walls,",B-ATTRIBUTE,False,23
base,B-ATTRIBUTE,False,23
and,O,False,23
glass,B-MATERIAL,False,23
shelves.,B-ATTRIBUTE,False,23
Can,O,False,24
the,O,False,24
"2""",B-SIZE,True,24
"backsplash,",B-ATTRIBUTE,True,24
on,O,False,24
the,O,False,24
"60""",B-SIZE,False,24
single,B-PRODUCT,False,24
sink,I-PRODUCT,False,24
"countertop,",I-PRODUCT,False,24
be,O,False,24
removed?,O,False,24
Or,O,False,24
is,O,False,24
the,O,False,24
counter,B-PRODUCT,False,24
and,O,False,24
backsplash,B-ATTRIBUTE,False,24
one,O,False,24
piece?,O,False,24
If,O,False,24
"so,",O,False,24
do,O,False,24
you,O,False,24
have,O,False,24
a,O,False,24
single,B-PRODUCT,False,24
"sink,",I-PRODUCT,False,24
white,B-COLOUR,False,24
"60""",B-SIZE,False,24
vanity,B-PRODUCT,False,24
with,O,False,24
no,O,False,24
backsplash,B-ATTRIBUTE,True,24
piece?,I-ATTRIBUTE,True,24
We're,O,False,25
looking,O,False,25
for,O,False,25
a,O,False,25
60,B-SIZE,False,25
inch,I-SIZE,False,25
left,B-ATTRIBUTE,False,25
drain,I-ATTRIBUTE,False,25
alcove,B-ATTRIBUTE,False,25
tub,B-PRODUCT,False,25
which,O,False,25
is,O,False,25
a,O,False,25
soaker,B-ATTRIBUTE,False,25
tub,B-PRODUCT,False,25
with,O,False,25
no,O,False,25
more,O,False,25
than,O,False,25
"15""",B-SIZE,True,25
height.,I-SIZE,True,25
In,O,False,25
white.,B-COLOUR,False,25
just,O,False,26
need,O,False,26
glass,B-MATERIAL,False,26
doors,B-PRODUCT,False,26
no,O,False,26
end,B-PRODUCT,True,26
glass,I-PRODUCT,True,26
Do,O,False,27
you,O,False,27
have,O,False,27
Chrome,B-MATERIAL,False,27
column-style,B-SHAPE,False,27
showerhead,B-PRODUCT,False,27
with,O,False,27
body,B-ATTRIBUTE,False,27
jets,I-ATTRIBUTE,False,27
and,O,False,27
rain,B-ATTRIBUTE,False,27
showerhead,I-ATTRIBUTE,False,27
i,O,False,28
live,O,False,28
in,O,False,28
__location__,O,False,28
and,O,False,28
i,O,False,28
am,O,False,28
looking,O,False,28
for,O,False,28
an,O,False,28
acrylic,B-MATERIAL,False,28
(,O,False,28
preference,O,False,28
),O,False,28
or,O,False,28
fibreglass,B-MATERIAL,False,28
shower,B-PRODUCT,False,28
base.,I-PRODUCT,False,28
I,O,False,28
need,O,False,28
a,O,False,28
50,B-SIZE,False,28
inch,I-SIZE,False,28
wide,I-SIZE,False,28
by,O,False,28
34,B-SIZE,False,28
inch,I-SIZE,False,28
deep,I-SIZE,False,28
with,O,False,28
a,O,False,28
5,B-SIZE,False,28
inch,I-SIZE,False,28
single,B-ATTRIBUTE,False,28
threshold,I-ATTRIBUTE,False,28
Looking,O,False,29
for,O,False,29
a,O,False,29
tub/shower,B-PRODUCT,False,29
righthand,B-ATTRIBUTE,False,29
and,O,False,29
one,O,False,29
"lefthand,",B-ATTRIBUTE,False,29
what,O,False,29
are,O,False,29
my,O,False,29
options?,O,False,29
I,O,False,30
am,O,False,30
looking,O,False,30
for,O,False,30
a,O,False,30
freestanding,B-ATTRIBUTE,False,30
tub,B-PRODUCT,False,30
with,O,False,30
a,O,False,30
bathing,B-ATTRIBUTE,False,30
well,I-ATTRIBUTE,False,30
bottom,I-ATTRIBUTE,False,30
length,B-SIZE,False,30
of,I-SIZE,False,30
45,I-SIZE,False,30
inches,I-SIZE,False,30
minimum,O,False,30
I'm,O,False,31
looking,O,False,31
for,O,False,31
a,O,False,31
round,B-SHAPE,False,31
shower,B-PRODUCT,False,31
around,O,False,31
73,B-SIZE,False,31
inches,I-SIZE,False,31
high,I-SIZE,False,31
I'm,O,False,32
looking,O,False,32
to,O,False,32
buy,O,False,32
a,O,False,32
"42""",B-SIZE,False,32
gazebo,B-PRODUCT,False,32
with,O,False,32
no,O,False,32
more,O,False,32
than,O,False,32
"21""",B-SIZE,True,32
depth,I-SIZE,True,32
Do,O,False,33
you,O,False,33
have,O,False,33
shelves,B-PRODUCT,False,33
that,O,False,33
mount,O,False,33
to,O,False,33
a,O,False,33
"wall,",O,False,33
no,O,False,33
screw,B-ATTRIBUTE,True,33
30,B-SIZE,False,33
inches,I-SIZE,False,33
__brand__,B-PRODUCT,False,34
bathtub,I-PRODUCT,False,34
58,B-SIZE,False,34
in.,I-SIZE,False,34
x,O,False,34
5,B-SIZE,False,34
in.,I-SIZE,False,34
4-Jet,B-ATTRIBUTE,False,34
High,I-ATTRIBUTE,False,34
Pressure,I-ATTRIBUTE,False,34
Shower,B-PRODUCT,False,34
Panel,I-PRODUCT,False,34
System,I-PRODUCT,False,34
with,O,False,34
Square,B-ATTRIBUTE,False,34
Rain,I-ATTRIBUTE,False,34
Shower,I-ATTRIBUTE,False,34
Head,I-ATTRIBUTE,False,34
and,O,False,34
Tub,B-ATTRIBUTE,False,34
Filler,I-ATTRIBUTE,False,34
in,O,False,34
Matte,B-TEXTURE,False,34
Black,B-COLOUR,False,34
Model,O,False,34
"Yes,",O,False,35
I,O,False,35
bought,O,False,35
a,O,False,35
tub,B-PRODUCT,False,35
from,O,False,35
"you,",O,False,35
I,O,False,35
am,O,False,35
looking,O,False,35
for,O,False,35
a,O,False,35
adjustable,B-ATTRIBUTE,False,35
screw,B-PRODUCT,False,35
that,O,False,35
attaches,O,False,35
to,O,False,35
the,O,False,35
plug.,O,False,35
I'm,O,False,36
looking,O,False,36
for,O,False,36
a,O,False,36
60,B-SIZE,False,36
inch,I-SIZE,False,36
white,B-COLOUR,False,36
bathtub,B-PRODUCT,False,36
that,O,False,36
is,O,False,36
freestanding,B-ATTRIBUTE,False,36
and,O,False,36
reasonably,B-PRICE,False,36
priced,I-PRICE,False,36
i'm,O,False,37
looking,O,False,37
for,O,False,37
unflavored,B-ATTRIBUTE,False,37
mass,B-PRODUCT,False,37
gainer,I-PRODUCT,False,37
protein,I-PRODUCT,False,37
Do,O,False,38
you,O,False,38
have,O,False,38
a,O,False,38
wall,B-ATTRIBUTE,False,38
mount,I-ATTRIBUTE,False,38
sink,B-PRODUCT,False,38
without,O,False,38
a,O,False,38
faucet,B-ATTRIBUTE,True,38
hole,I-ATTRIBUTE,True,38
Just,O,False,39
shower,B-PRODUCT,False,39
base,I-PRODUCT,False,39
without,O,False,39
walls,B-ATTRIBUTE,True,39
I'm,O,False,40
looking,O,False,40
for,O,False,40
a,O,False,40
shower,B-PRODUCT,False,40
"unit,",I-PRODUCT,False,40
"60""",B-SIZE,False,40
wide,I-SIZE,False,40
by,O,False,40
"42""",B-SIZE,False,40
"deep,",I-SIZE,False,40
with,O,False,40
no,O,False,40
seat,B-ATTRIBUTE,True,40
and,O,False,40
no,O,False,40
top,B-ATTRIBUTE,True,40
luggage,B-PRODUCT,False,41
without,O,False,41
wheels,B-ATTRIBUTE,True,41
I,O,False,42
found,O,False,42
a,O,False,42
vanity,B-PRODUCT,False,42
top,I-PRODUCT,False,42
I,O,False,42
love,O,False,42
but,O,False,42
it,O,False,42
has,O,False,42
only,O,False,42
one,B-ATTRIBUTE,True,42
hole,I-ATTRIBUTE,True,42
for,O,False,42
taps,B-ATTRIBUTE,False,42
and,O,False,42
that,O,False,42
doesn't,O,False,42
suit,O,False,42
our,O,False,42
needs,O,False,42
curbless,B-ATTRIBUTE,False,43
shower,B-PRODUCT,False,43
Walk,B-ATTRIBUTE,False,44
in,I-ATTRIBUTE,False,44
tubs,B-PRODUCT,False,44
for,O,False,44
seniors,B-ATTRIBUTE,False,44
I,O,False,45
am,O,False,45
looking,O,False,45
for,O,False,45
a,O,False,45
shower,B-PRODUCT,False,45
door,I-PRODUCT,False,45
about,O,False,45
30,B-SIZE,False,45
inches,I-SIZE,False,45
I,O,False,46
need,O,False,46
a,O,False,46
toilet,B-PRODUCT,False,46
that,O,False,46
is,O,False,46
only,O,False,46
28,B-SIZE,False,46
inches,I-SIZE,False,46
